Question|Answer|Processed|Disease
"What environmental factors can aggravate Psoriasis?"|"Other environmental factors such as a stressful event can aggravate Psoriasis."|1|Psoriasis
"How can streptococcal tonsillitis exacerbate Psoriasis?"|"Streptococcal tonsillitis exacerbates Psoriasis by triggering the body's immune response, leading to Psoriasis flare-ups."|1|Psoriasis
"What is the term used to describe the worsening of Psoriasis after certain injuries?"|"The term 'koebnerised Psoriasis' is used to describe the worsening of Psoriasis after certain injuries such as cuts, abrasions, or sunburn."|1|Psoriasis
"What autoimmune disease is commonly associated with Psoriasis?"|"Inflammatory 'psoriatic arthritis' is commonly associated with Psoriasis. It is an autoimmune disease."|1|Psoriasis
"What percentage of patients with early-onset chronic plaque Psoriasis may develop spondyloarthropathy?"|"Up to 41% of patients with early-onset chronic plaque Psoriasis may develop spondyloarthropathy."|1|Psoriasis
"What inflammatory bowel diseases are associated with Psoriasis?"|"Inflammatory bowel disease, including Crohn's disease and ulcerative colitis, are associated with Psoriasis."|1|Psoriasis
"What is uveitis, and how is it related to Psoriasis?"|"Uveitis, a form of inflammation of the eye, is associated with Psoriasis."|1|Psoriasis
"What autoimmune condition is linked to Psoriasis?"|"Coeliac disease is linked to Psoriasis."|1|Psoriasis
"What are some skin conditions associated with Psoriasis?"|"Localised palmoplantar pustulosis, generalised pustulosis, and acute generalised exanthematous pustulosis are skin conditions associated with Psoriasis."|1|Psoriasis
"What liver condition is associated with Psoriasis?"|"Non-alcoholic fatty liver disease is associated with Psoriasis."|1|Psoriasis
"What is the prevalence of psoriatic arthritis in patients with Psoriasis?"|"Psoriatic arthritis is seen in up to 41% of patients with early-onset chronic plaque Psoriasis."|1|Psoriasis
"What eye condition is associated with Psoriasis?"|"Uveitis, a form of inflammation of the eye, is associated with Psoriasis."|1|Psoriasis
"What gastrointestinal conditions are associated with Psoriasis?"|"Inflammatory bowel disease, including Crohn's disease and ulcerative colitis, are associated with Psoriasis."|1|Psoriasis
"What is metabolic syndrome?"|"Metabolic syndrome refers to the combination of obesity, hypertension, dyslipidemia, and insulin resistance."|1|Psoriasis
"In which group of Psoriasis patients is metabolic syndrome particularly common?"|"Metabolic syndrome is particularly common in patients with Psoriasis, especially those with severe chronic plaque Psoriasis."|1|Psoriasis
"What factors are linked to the presence of metabolic syndrome in Psoriasis patients?"|"The link between Psoriasis, obesity, and type 2 diabetes mellitus in Psoriasis patients is independent of age, sex, and smoking history."|1|Psoriasis
"What is the suggested cause of the link between Psoriasis, obesity, and type 2 diabetes mellitus?"|"The link between Psoriasis, obesity, and type 2 diabetes mellitus is thought to be due to genetic factors and the presence of chronic inflammation."|1|Psoriasis
"What drives both psoriatic skin inflammation and atherosclerosis?"|"The interleukin (IL)-23/Th 17 axis drives both psoriatic skin inflammation and atherosclerosis."|1|Psoriasis
"What is Psoriasis considered as in relation to cardiovascular disease?"|"Psoriasis is considered an independent risk factor for cardiovascular disease."|1|Psoriasis
"What lifestyle modifications can help reduce mortality from cardiovascular events in Psoriasis patients?"|"Lifestyle modifications such as weight loss, reduction of lipid profile, and tight control of glucose levels can reduce mortality from cardiovascular events in Psoriasis patients."|1|Psoriasis
"What are the components of metabolic syndrome?"|"Metabolic syndrome includes obesity, hypertension, dyslipidemia, and insulin resistance."|1|Psoriasis
"In which Psoriasis patients is metabolic syndrome particularly prevalent?"|"Metabolic syndrome is particularly prevalent in patients with severe chronic plaque Psoriasis."|1|Psoriasis
"What role does chronic inflammation play in the link between Psoriasis and metabolic syndrome?"|"Chronic inflammation is believed to play a role in the link between Psoriasis and metabolic syndrome."|1|Psoriasis
"What are some general recommendations for patients with psoriasis regarding lifestyle?"|"General recommendations for patients with psoriasis include smoking cessation, adhering to safe limits for alcohol consumption, and maintaining optimal weight."|1|Psoriasis
"What is the primary treatment approach for mild psoriasis?"|"Mild psoriasis is generally treated with topical agents alone."|1|Psoriasis
"What factors influence the selection of topical treatments for psoriasis?"|"The selection of topical treatments for psoriasis depends on the body site, extent, and severity of psoriasis."|1|Psoriasis
"What are some examples of topical therapies for psoriasis?"|"Examples of topical therapies for psoriasis include emollients and moisturizers, coal tar preparations, dithranol, salicylic acid, vitamin D analogues (e.g., calcipotriol), topical corticosteroids, combination calcipotriol/betamethasone dipropionate ointment/gel or foam, and calcineurin inhibitors (tacrolimus, pimecrolimus)."|1|Psoriasis
"What is the role of emollients and moisturizers in treating psoriasis?"|"Emollients and moisturizers are used to hydrate the skin and reduce dryness associated with psoriasis."|1|Psoriasis
"What is a common topical therapy for psoriasis derived from coal tar?"|"Coal tar preparations are commonly used as topical therapy for psoriasis."|1|Psoriasis
"What is the function of salicylic acid in treating psoriasis?"|"Salicylic acid is used to promote the shedding of dead skin cells in psoriasis."|1|Psoriasis
"What is the mechanism of action of calcipotriol in psoriasis treatment?"|"Calcipotriol, a vitamin D analogue, regulates skin cell growth and differentiation, thus reducing inflammation in psoriasis."|1|Psoriasis
"What is the purpose of combination calcipotriol/betamethasone dipropionate ointment/gel or foam?"|"Combination calcipotriol/betamethasone dipropionate ointment/gel or foam is used to provide both anti-inflammatory and skin-normalizing effects in psoriasis."|1|Psoriasis
"What is the role of calcineurin inhibitors in treating psoriasis?"|"Calcineurin inhibitors such as tacrolimus and pimecrolimus are used to suppress the immune response and reduce inflammation in psoriasis."|1|Psoriasis
